from: https://www.utf8-chartable.de/unicode-utf8-table.pl

U+1F300	🌀	f0 9f 8c 80	CYCLONE
U+1F34D	🍍	f0 9f 8d 8d	PINEAPPLE
U+1F34E	🍎	f0 9f 8d 8e	RED APPLE
U+1F34F	🍏	f0 9f 8d 8f	GREEN APPLE
U+1F350	🍐	f0 9f 8d 90	PEAR
U+1F351	🍑	f0 9f 8d 91	PEACH
U+1F352	🍒	f0 9f 8d 92	CHERRIES
U+1F353	🍓	f0 9f 8d 93	STRAWBERRY
U+1F354	🍔	f0 9f 8d 94	HAMBURGER
U+1F355	🍕	f0 9f 8d 95	SLICE OF PIZZA
U+1F356	🍖	f0 9f 8d 96	MEAT ON BONE
U+1F357	🍗	f0 9f 8d 97	POULTRY LEG
U+1F358	🍘	f0 9f 8d 98	RICE CRACKER
U+1F359	🍙	f0 9f 8d 99	RICE BALL
U+1F35A	🍚	f0 9f 8d 9a	COOKED RICE
U+1F35B	🍛	f0 9f 8d 9b	CURRY AND RICE
U+1F35C	🍜	f0 9f 8d 9c	STEAMING BOWL
U+1F35D	🍝	f0 9f 8d 9d	SPAGHETTI
U+1F35E	🍞	f0 9f 8d 9e	BREAD
U+1F35F	🍟	f0 9f 8d 9f	FRENCH FRIES
U+1F360	🍠	f0 9f 8d a0	ROASTED SWEET POTATO
U+1F361	🍡	f0 9f 8d a1	DANGO
U+1F362	🍢	f0 9f 8d a2	ODEN
U+1F363	🍣	f0 9f 8d a3	SUSHI
U+1F364	🍤	f0 9f 8d a4	FRIED SHRIMP
U+1F365	🍥	f0 9f 8d a5	FISH CAKE WITH SWIRL DESIGN
U+1F366	🍦	f0 9f 8d a6	SOFT ICE CREAM
U+1F367	🍧	f0 9f 8d a7	SHAVED ICE
U+1F368	🍨	f0 9f 8d a8	ICE CREAM
U+1F369	🍩	f0 9f 8d a9	DOUGHNUT
U+1F36A	🍪	f0 9f 8d aa	COOKIE
U+1F36B	🍫	f0 9f 8d ab	CHOCOLATE BAR
U+1F36C	🍬	f0 9f 8d ac	CANDY
U+1F36D	🍭	f0 9f 8d ad	LOLLIPOP
U+1F36E	🍮	f0 9f 8d ae	CUSTARD
U+1F36F	🍯	f0 9f 8d af	HONEY POT
U+1F370	🍰	f0 9f 8d b0	SHORTCAKE
U+1F371	🍱	f0 9f 8d b1	BENTO BOX
U+1F372	🍲	f0 9f 8d b2	POT OF FOOD
U+1F373	🍳	f0 9f 8d b3	COOKING
U+1F374	🍴	f0 9f 8d b4	FORK AND KNIFE
U+1F375	🍵	f0 9f 8d b5	TEACUP WITHOUT HANDLE
U+1F376	🍶	f0 9f 8d b6	SAKE BOTTLE AND CUP
U+1F377	🍷	f0 9f 8d b7	WINE GLASS
U+1F378	🍸	f0 9f 8d b8	COCKTAIL GLASS
U+1F379	🍹	f0 9f 8d b9	TROPICAL DRINK
U+1F37A	🍺	f0 9f 8d ba	BEER MUG
U+1F37B	🍻	f0 9f 8d bb	CLINKING BEER MUGS
U+1F37C	🍼	f0 9f 8d bc	BABY BOTTLE
U+1F37D	🍽	f0 9f 8d bd	FORK AND KNIFE WITH PLATE
U+1F37E	🍾	f0 9f 8d be	BOTTLE WITH POPPING CORK
U+1F37F	🍿	f0 9f 8d bf	POPCORN
U+1F380	🎀	f0 9f 8e 80	RIBBON
U+1F381	🎁	f0 9f 8e 81	WRAPPED PRESENT
U+1F382	🎂	f0 9f 8e 82	BIRTHDAY CAKE
U+1F383	🎃	f0 9f 8e 83	JACK-O-LANTERN
U+1F384	🎄	f0 9f 8e 84	CHRISTMAS TREE
U+1F385	🎅	f0 9f 8e 85	FATHER CHRISTMAS
U+1F386	🎆	f0 9f 8e 86	FIREWORKS
U+1F387	🎇	f0 9f 8e 87	FIREWORK SPARKLER
U+1F388	🎈	f0 9f 8e 88	BALLOON
U+1F389	🎉	f0 9f 8e 89	PARTY POPPER
U+1F38A	🎊	f0 9f 8e 8a	CONFETTI BALL
U+1F38B	🎋	f0 9f 8e 8b	TANABATA TREE
U+1F38C	🎌	f0 9f 8e 8c	CROSSED FLAGS
U+1F38D	🎍	f0 9f 8e 8d	PINE DECORATION
U+1F38E	🎎	f0 9f 8e 8e	JAPANESE DOLLS
U+1F38F	🎏	f0 9f 8e 8f	CARP STREAMER
U+1F390	🎐	f0 9f 8e 90	WIND CHIME
U+1F391	🎑	f0 9f 8e 91	MOON VIEWING CEREMONY
U+1F392	🎒	f0 9f 8e 92	SCHOOL SATCHEL
U+1F393	🎓	f0 9f 8e 93	GRADUATION CAP
U+1F394	🎔	f0 9f 8e 94	HEART WITH TIP ON THE LEFT
U+1F395	🎕	f0 9f 8e 95	BOUQUET OF FLOWERS
U+1F396	🎖	f0 9f 8e 96	MILITARY MEDAL
U+1F397	🎗	f0 9f 8e 97	REMINDER RIBBON
U+1F398	🎘	f0 9f 8e 98	MUSICAL KEYBOARD WITH JACKS
U+1F399	🎙	f0 9f 8e 99	STUDIO MICROPHONE
U+1F39A	🎚	f0 9f 8e 9a	LEVEL SLIDER
U+1F39B	🎛	f0 9f 8e 9b	CONTROL KNOBS
U+1F39C	🎜	f0 9f 8e 9c	BEAMED ASCENDING MUSICAL NOTES
U+1F39D	🎝	f0 9f 8e 9d	BEAMED DESCENDING MUSICAL NOTES
U+1F39E	🎞	f0 9f 8e 9e	FILM FRAMES
U+1F39F	🎟	f0 9f 8e 9f	ADMISSION TICKETS
U+1F3A0	🎠	f0 9f 8e a0	CAROUSEL HORSE
U+1F3A1	🎡	f0 9f 8e a1	FERRIS WHEEL
U+1F3A2	🎢	f0 9f 8e a2	ROLLER COASTER
U+1F3A3	🎣	f0 9f 8e a3	FISHING POLE AND FISH
U+1F3A4	🎤	f0 9f 8e a4	MICROPHONE
U+1F3A5	🎥	f0 9f 8e a5	MOVIE CAMERA
U+1F3A6	🎦	f0 9f 8e a6	CINEMA
U+1F3A7	🎧	f0 9f 8e a7	HEADPHONE
U+1F3A8	🎨	f0 9f 8e a8	ARTIST PALETTE
U+1F3A9	🎩	f0 9f 8e a9	TOP HAT
U+1F3AA	🎪	f0 9f 8e aa	CIRCUS TENT
U+1F3AB	🎫	f0 9f 8e ab	TICKET
U+1F3AC	🎬	f0 9f 8e ac	CLAPPER BOARD
U+1F3AD	🎭	f0 9f 8e ad	PERFORMING ARTS
U+1F3AE	🎮	f0 9f 8e ae	VIDEO GAME
U+1F3AF	🎯	f0 9f 8e af	DIRECT HIT
U+1F3B0	🎰	f0 9f 8e b0	SLOT MACHINE
U+1F3B1	🎱	f0 9f 8e b1	BILLIARDS
U+1F3B2	🎲	f0 9f 8e b2	GAME DIE
U+1F3B3	🎳	f0 9f 8e b3	BOWLING
U+1F3B4	🎴	f0 9f 8e b4	FLOWER PLAYING CARDS
U+1F3B5	🎵	f0 9f 8e b5	MUSICAL NOTE
U+1F3B6	🎶	f0 9f 8e b6	MULTIPLE MUSICAL NOTES
U+1F3B7	🎷	f0 9f 8e b7	SAXOPHONE
U+1F3B8	🎸	f0 9f 8e b8	GUITAR
U+1F3B9	🎹	f0 9f 8e b9	MUSICAL KEYBOARD
U+1F3BA	🎺	f0 9f 8e ba	TRUMPET
U+1F3BB	🎻	f0 9f 8e bb	VIOLIN
U+1F3BC	🎼	f0 9f 8e bc	MUSICAL SCORE
U+1F3BD	🎽	f0 9f 8e bd	RUNNING SHIRT WITH SASH
U+1F3BE	🎾	f0 9f 8e be	TENNIS RACQUET AND BALL
U+1F3BF	🎿	f0 9f 8e bf	SKI AND SKI BOOT
U+1F3C0	🏀	f0 9f 8f 80	BASKETBALL AND HOOP
U+1F3C1	🏁	f0 9f 8f 81	CHEQUERED FLAG
U+1F3C2	🏂	f0 9f 8f 82	SNOWBOARDER
U+1F3C3	🏃	f0 9f 8f 83	RUNNER
U+1F3C4	🏄	f0 9f 8f 84	SURFER
U+1F3C5	🏅	f0 9f 8f 85	SPORTS MEDAL
U+1F3C6	🏆	f0 9f 8f 86	TROPHY
U+1F3C7	🏇	f0 9f 8f 87	HORSE RACING
U+1F3C8	🏈	f0 9f 8f 88	AMERICAN FOOTBALL
U+1F3C9	🏉	f0 9f 8f 89	RUGBY FOOTBALL
U+1F3CA	🏊	f0 9f 8f 8a	SWIMMER
U+1F3CB	🏋	f0 9f 8f 8b	WEIGHT LIFTER
U+1F3CC	🏌	f0 9f 8f 8c	GOLFER
U+1F3CD	🏍	f0 9f 8f 8d	RACING MOTORCYCLE
U+1F3CE	🏎	f0 9f 8f 8e	RACING CAR
U+1F3CF	🏏	f0 9f 8f 8f	CRICKET BAT AND BALL
U+1F3D0	🏐	f0 9f 8f 90	VOLLEYBALL
U+1F3D1	🏑	f0 9f 8f 91	FIELD HOCKEY STICK AND BALL
U+1F3D2	🏒	f0 9f 8f 92	ICE HOCKEY STICK AND PUCK
U+1F3D3	🏓	f0 9f 8f 93	TABLE TENNIS PADDLE AND BALL
U+1F3D4	🏔	f0 9f 8f 94	SNOW CAPPED MOUNTAIN
U+1F3D5	🏕	f0 9f 8f 95	CAMPING
U+1F3D6	🏖	f0 9f 8f 96	BEACH WITH UMBRELLA
U+1F3D7	🏗	f0 9f 8f 97	BUILDING CONSTRUCTION
U+1F3D8	🏘	f0 9f 8f 98	HOUSE BUILDINGS
U+1F3D9	🏙	f0 9f 8f 99	CITYSCAPE
U+1F3DA	🏚	f0 9f 8f 9a	DERELICT HOUSE BUILDING
U+1F3DB	🏛	f0 9f 8f 9b	CLASSICAL BUILDING
U+1F3DC	🏜	f0 9f 8f 9c	DESERT
U+1F3DD	🏝	f0 9f 8f 9d	DESERT ISLAND
U+1F3DE	🏞	f0 9f 8f 9e	NATIONAL PARK
U+1F3DF	🏟	f0 9f 8f 9f	STADIUM
U+1F3E0	🏠	f0 9f 8f a0	HOUSE BUILDING
U+1F3E1	🏡	f0 9f 8f a1	HOUSE WITH GARDEN
U+1F3E2	🏢	f0 9f 8f a2	OFFICE BUILDING
U+1F3E3	🏣	f0 9f 8f a3	JAPANESE POST OFFICE
U+1F3E4	🏤	f0 9f 8f a4	EUROPEAN POST OFFICE
U+1F3E5	🏥	f0 9f 8f a5	HOSPITAL
U+1F3E6	🏦	f0 9f 8f a6	BANK
U+1F3E7	🏧	f0 9f 8f a7	AUTOMATED TELLER MACHINE
U+1F3E8	🏨	f0 9f 8f a8	HOTEL
U+1F3E9	🏩	f0 9f 8f a9	LOVE HOTEL
U+1F3EA	🏪	f0 9f 8f aa	CONVENIENCE STORE
U+1F3EB	🏫	f0 9f 8f ab	SCHOOL
U+1F3EC	🏬	f0 9f 8f ac	DEPARTMENT STORE
U+1F3ED	🏭	f0 9f 8f ad	FACTORY
U+1F3EE	🏮	f0 9f 8f ae	IZAKAYA LANTERN
U+1F3EF	🏯	f0 9f 8f af	JAPANESE CASTLE
U+1F3F0	🏰	f0 9f 8f b0	EUROPEAN CASTLE
U+1F3F1	🏱	f0 9f 8f b1	WHITE PENNANT
U+1F3F2	🏲	f0 9f 8f b2	BLACK PENNANT
U+1F3F3	🏳	f0 9f 8f b3	WAVING WHITE FLAG
U+1F3F4	🏴	f0 9f 8f b4	WAVING BLACK FLAG
U+1F3F5	🏵	f0 9f 8f b5	ROSETTE
U+1F3F6	🏶	f0 9f 8f b6	BLACK ROSETTE
U+1F3F7	🏷	f0 9f 8f b7	LABEL
U+1F3F8	🏸	f0 9f 8f b8	BADMINTON RACQUET AND SHUTTLECOCK
U+1F3F9	🏹	f0 9f 8f b9	BOW AND ARROW
U+1F3FA	🏺	f0 9f 8f ba	AMPHORA
U+1F3FB	🏻	f0 9f 8f bb	EMOJI MODIFIER FITZPATRICK TYPE-1-2
U+1F3FC	🏼	f0 9f 8f bc	EMOJI MODIFIER FITZPATRICK TYPE-3
U+1F3FD	🏽	f0 9f 8f bd	EMOJI MODIFIER FITZPATRICK TYPE-4
U+1F3FE	🏾	f0 9f 8f be	EMOJI MODIFIER FITZPATRICK TYPE-5
U+1F3FF	🏿	f0 9f 8f bf	EMOJI MODIFIER FITZPATRICK TYPE-6
